CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IAFIV,Lowden Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a653849c20c35ea50f31d5c1cb80,52.1438889,-112.6891667,"36,37-19-W4",Alberta,1000000,1955-01-20,Alberta Culture and Tourism
IAFIW,Lowe Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a727849c20c3510acfdb24d61cf0,55.3261111,-119.1777778,73-8-W6,Alberta,250000,1951-09-06,Alberta Culture and Tourism
IAFIX,Lowen Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a6e6849c20c3e8b0447ba25a384e,55.1941667,-119.6255556,71-11-W6,Alberta,50000,1951-12-06,Alberta Culture and Tourism
IAFIY,Lower Bertha Falls,Undetermined,,Falls,Water Feature,FALL,0c84a7dd849c20c34c363f97b6307b2b,49.0352778,-113.9266667,1-30-W4,Alberta,50000,1971-06-08,Alberta Culture and Tourism
IASNP,Lower Colefair Lake,Undetermined,,Lake,Water Feature,LAKE,96bd795ac6cb11d892e2080020a0f4c9,52.7300000,-117.8716667,,Alberta,50000,2002-09-21,Alberta Culture and Tourism
IASQM,Lower Kakwa Falls,Undetermined,,Falls,Water Feature,FALL,0cadfa46849c20c3c5ecd397ea1ebaf0,54.0925000,-119.7000000,10-59-12-W6,Alberta,50000,1991-09-23,Alberta Culture and Tourism
IAFIZ,Lower Kananaskis Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a79b849c20c3fb73695abf2f04d5,50.6561111,-115.1369444,"19,20-9-W5",Alberta,250000,1917-08-31,Alberta Culture and Tourism
IAAZZ,Lower Longview Lake,Undetermined,,Lake,Water Feature,LAKE,0c82a896849c20c345d2c72b6be95e92,52.3758334,-116.9266667,22-39-21-W5,Alberta,50000,1979-03-20,Alberta Culture and Tourism
IAFJA,Lower Mann Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a898849c20c38df9b0927f8dd96f,54.1666667,-111.5000000,"60-11,12-W4",Alberta,250000,1950-07-06,Alberta Culture and Tourism
IASIR,Lower Mons Lake,Undetermined,,Lake,Water Feature,LAKE,0caddf91849c20c350dda43ac9aeda7b,52.6272222,-116.7038889,20-42-19-W5,Alberta,50000,1991-10-17,Alberta Culture and Tourism
IATNC,Lower Mount Royal,Undetermined,,Urban Community,Populated Place,UNP,548641f7bbe111d892e2080020a0f4c9,51.0375000,-114.0861100,Calgary,Alberta,50000,,Alberta Culture and Tourism
IAFJB,Lower Rowe Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a81e849c20c3bb169e48eac3e1ad,49.0541667,-114.0508333,1-1-W5,Alberta,50000,1960-04-07,Alberta Culture and Tourism
IAFJC,Lower Spray Falls,Undetermined,,Falls,Water Feature,FALL,0c84a993849c20c3693379d7d9e54332,51.0316667,-115.2519444,7-24-9-W5,Alberta,50000,1958-08-07,Alberta Culture and Tourism
IASJC,Lower Stony Creek,Undetermined,,Creek,Water Feature,RIV,fe6ea998c6cd11d892e2080020a0f4c9,51.9277777,-114.7544444,23-34-6-W5,Alberta,250000,1991-10-03,Alberta Culture and Tourism
IAFJD,Lower Thérien Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a8fc849c20c3095b8d4c323f89d9,53.9383333,-111.3786111,57-10-W4,Alberta,1000000,1941-09-11,Alberta Culture and Tourism
IAFJF,Lower Waterton Lake,Undetermined,,Lake,Water Feature,LAKE,0d08a34b849c20c36174234f98a5b20c,49.0925000,-113.8533333,6-2-29-W4,Alberta,250000,1969-09-07,Alberta Culture and Tourism
IAFJI,Loyalist,Undetermined,,Locality,Populated Place,UNP,0c84ab95849c20c3b6204fabc9d36e0f,51.9858334,-110.9544444,9-35-7-W4,Alberta,250000,1951-11-01,Alberta Culture and Tourism
IAFJJ,Loyalist Creek,Undetermined,,Creek,Water Feature,RIV,0c84ab1e849c20c36de37f928280b0dc,51.9663889,-110.6219444,34-34-5-W4,Alberta,250000,1951-11-01,Alberta Culture and Tourism
IAFJK,Loyalist Creek Reservoir,Undetermined,,Reservoir,Water Feature,LAKE,0c84abd6849c20c3f492c12c82d967f2,51.9686111,-111.0077778,"34-7,8-W4",Alberta,250000,1952-01-17,Alberta Culture and Tourism
IAFJM,Lubicon Lake,Undetermined,,Lake,Water Feature,LAKE,0c84acfc849c20c3c48c601fb89b98a8,56.3741667,-115.9616667,"85-12,13-W5",Alberta,1000000,1944-10-12,Alberta Culture and Tourism
IAFJL,Lubicon Lake,Undetermined,,Locality,Populated Place,UNP,28d94635c6ce11d892e2080020a0f4c9,56.3691666,-115.8655556,17-85-13-W5,Alberta,250000,1988-03-22,Alberta Culture and Tourism
IAFJN,Lubicon River,Undetermined,,River,Water Feature,RIV,0c84acb3849c20c3e523e6f17d0def12,56.5208333,-115.4672220,87-10-W5,Alberta,1000000,1944-10-12,Alberta Culture and Tourism
IAFJP,Lucas Islands,Undetermined,,Islands,Terrain Feature,ISL,0c84ad97849c20c369373c124985c376,58.8266666,-110.7111111,113-5-W4,Alberta,250000,1922-06-06,Alberta Culture and Tourism
IAFJQ,Lucerne Peak,Undetermined,,Peak,Terrain Feature,MTN,3fadba84ba3611d892e2080020a0f4c9,52.8847222,-118.5836111,45-5-W6,Alberta,50000,1956-08-02,Alberta Culture and Tourism
IAFJR,Lucia Lake,Undetermined,,Lake,Water Feature,LAKE,0c84add7849c20c376cf8f3d3eb8f18a,52.9111111,-110.4916667,27-45-4-W4,Alberta,250000,1951-04-05,Alberta Culture and Tourism
IAFJU,Lucky Lake,Undetermined,,Lake,Water Feature,LAKE,0c84af43849c20c3b0c995f198f33c73,54.3516667,-112.6141667,62-18-W4,Alberta,250000,1945-12-08,Alberta Culture and Tourism
IAFJT,Lucky Lake,Undetermined,,Lake,Water Feature,LAKE,0c84aea8849c20c39bccbaa04845f208,54.2833333,-115.0000000,61-7-W5,Alberta,50000,1958-01-16,Alberta Culture and Tourism
IAFJW,Luellen Lake,Undetermined,,Lake,Water Feature,LAKE,0cff991d849c20c37afc1bb5f21cb187,51.3397222,-115.9163889,27-14-W5,Alberta,250000,1959-05-07,Alberta Culture and Tourism
IAFJX,Lumba Lake,Undetermined,,Lake,Water Feature,LAKE,0c84af84849c20c3c3dee4407d68cc52,54.4786111,-111.7050000,26-63-12-W4,Alberta,250000,1950-05-03,Alberta Culture and Tourism
IARCV,Lumni Hill,Undetermined,,Hill,Terrain Feature,MTN,0c8a00e6849c20c342523a6f1269aac1,51.7094445,-113.0255556,2-32-22-W4,Alberta,250000,1986-07-28,Alberta Culture and Tourism
IAFJY,Lumpy Butte,Undetermined,,Butte,Terrain Feature,MTN,0c84afc6849c20c37d44320f20a93fc8,49.2319444,-113.1188889,24-3-24-W4,Alberta,250000,1957-05-02,Alberta Culture and Tourism
IAFKB,Lund Creek,Undetermined,,Creek,Water Feature,RIV,0c84b07a849c20c352fd0409ab125968,52.9541666,-116.6013889,46-18-W5,Alberta,50000,1939-12-12,Alberta Culture and Tourism
IAFJZ,Lundbreck,Undetermined,,Hamlet,Populated Place,UNP,0cff995f849c20c397b6a0c53669dc12,49.5855555,-114.1619444,"25,26-7-2-W5",Alberta,1000000,1942-03-09,Alberta Culture and Tourism
IAFKA,Lundbreck Falls,Undetermined,,Falls,Water Feature,FALL,0c84b12f849c20c36865944f984e8f27,49.5822222,-114.2086111,28-7-2-W5,Alberta,50000,1964-05-31,Alberta Culture and Tourism
IAFKD,Lundine Creek,Undetermined,,Creek,Water Feature,RIV,0c84b1a2849c20c3057debde3e872ea4,52.3925000,-115.6408333,39-12-W5,Alberta,50000,1941-08-14,Alberta Culture and Tourism
IAFKE,Lunette Peak,Undetermined,,Peak,Terrain Feature,MTN,5dcc1164ba3411d892e2080020a0f4c9,50.8647222,-115.6486111,22-12-W5,Alberta,50000,1924-03-31,Alberta Culture and Tourism
